Book Title,Price,Availability,Rating
A Light in the Attic,£51.77,In Stock,Three out of five stars
Tipping the Velvet,£53.74,In Stock,One out of five stars
Soumission,£50.10,In Stock,One out of five stars
Sharp Objects,£47.82,In Stock,Four out of five stars
Sapiens: A Brief History of Humankind,£54.23,In Stock,Five out of five stars
The Requiem Red,£22.65,In Stock,One out of five stars
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In Stock,Four out of five stars
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In Stock,Three out of five stars
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In Stock,Four out of five stars
The Black Maria,£52.15,In Stock,One out of five stars
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In Stock,Two out of five stars
Shakespeare's Sonnets,£20.66,In Stock,Four out of five stars
Set Me Free,£17.46,In Stock,Five out of five stars
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In Stock,Five out of five stars
Rip it Up and Start Again,£35.02,In Stock,Five out of five stars
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In Stock,Three out of five stars
Olio,£23.88,In Stock,One out of five stars
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In Stock,One out of five stars
Libertarianism for Beginners,£51.33,In Stock,Two out of five stars
It's Only the Himalayas,£45.17,In Stock,Two out of five stars
In Her Wake,£12.84,In Stock,One out of five stars
How Music Works,£37.32,In Stock,Two out of five stars
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,In Stock,Three out of five stars
Chase Me (Paris Nights #2),£25.27,In Stock,Five out of five stars
Black Dust,£34.53,In Stock,Five out of five stars
Birdsong: A Story in Pictures,£54.64,In Stock,Three out of five stars
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,In Stock,Three out of five stars
Aladdin and His Wonderful Lamp,£53.13,In Stock,Three out of five stars
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,In Stock,Five out of five stars
